item	total	count part-1	specif part-1	count part-2	specif part-2
рашэнняў	6	3	-0.62	3	0.62
меры	6	3	-0.62	3	0.62
важная	6	2	-1.01	4	1.01
падыход	6	3	-0.62	3	0.62
новым	6	3	-0.62	3	0.62
вялікіх	6	3	-0.62	3	0.62
амерыканская	6	1	-1.67	5	1.67
лепшым	6	3	-0.62	3	0.62
крыху	6	2	-1.01	4	1.01
бакоў	6	4	0.48	2	0.48
дзяржаў	6	6	1.14	0	-1.14
гішпаніі	6	6	1.14	0	-1.14
адбылося	6	4	0.48	2	0.48
надавалася	6	6	1.14	0	-1.14
рэспублікам	6	6	1.14	0	-1.14
рэвалюцыі	6	5	0.62	1	-0.62
ідэю	6	4	0.48	2	0.48
бсг	6	6	1.14	0	-1.14
ідэі	6	6	1.14	0	-1.14
64	6	1	-1.67	5	1.67
патрабаванні	6	4	0.48	2	0.48
разлічваецца	6	6	1.14	0	-1.14
аднаго	6	2	-1.01	4	1.01
porsche	6	1	-1.67	5	1.67
атрымаць	6	3	-0.62	3	0.62
нібыта	6	3	-0.62	3	0.62
тыя	6	3	-0.62	3	0.62
e	6	3	-0.62	3	0.62
тэрміна	6	6	1.14	0	-1.14
якіх-небудзь	6	6	1.14	0	-1.14
здолеў	6	1	-1.67	5	1.67
лад	6	5	0.62	1	-0.62
такіх	6	5	0.62	1	-0.62
ўключае	6	2	-1.01	4	1.01
136	6	2	-1.01	4	1.01
абласной	6	6	1.14	0	-1.14
умовах	6	3	-0.62	3	0.62
сучасны	6	5	0.62	1	-0.62
рэчы	6	5	0.62	1	-0.62
добра	6	2	-1.01	4	1.01
лёгка	6	1	-1.67	5	1.67
мноства	6	6	1.14	0	-1.14
цыкла	6	2	-1.01	4	1.01
элементаў	6	2	-1.01	4	1.01
змены	6	1	-1.67	5	1.67
падзарадкі	6	2	-1.01	4	1.01
інжынеры	6	1	-1.67	5	1.67
транспартных	6	0	-2.71	6	2.71
сродкаў	6	0	-2.71	6	2.71
электрычная	6	0	-2.71	6	2.71
corsa	6	0	-2.71	6	2.71
дасягаючы	6	0	-2.71	6	2.71
беларускае	6	0	-2.71	6	2.71
